"Method","n","alpha2","gamma3","Est","SE","ESE","Cov %","Est","SE","ESE","Cov %","Est","SE","ESE","Cov %"
"Proposed","250","0","-0.5","1.003","0.058","0.028","96.0","-0.995","0.056","0.029","96.8","0.995","0.053","0.027","94.2"
"Proposed","250","0","0","1.001","0.038","0.030","94.0","-0.995","0.039","0.030","95.4","0.993","0.041","0.027","95.2"
"Proposed","250","0","0.5","1.002","0.030","0.026","95.8","-0.996","0.032","0.028","94.2","0.993","0.029","0.026","93.4"
"Proposed","250","1/(1+t)","-0.5","0.987","0.161","0.131","93.8","-1.000","0.145","0.115","95.2","0.993","0.068","0.039","94.0"
"Proposed","250","1/(1+t)","0","0.992","0.124","0.118","95.8","-1.000","0.121","0.116","95.6","0.994","0.049","0.039","95.2"
"Proposed","250","1/(1+t)","0.5","0.985","0.117","0.113","95.6","-1.005","0.112","0.108","96.8","0.995","0.040","0.038","94.4"
"Proposed","250","sin(t)","-0.5","0.985","0.169","0.134","94.2","-1.002","0.160","0.118","95.6","0.994","0.077","0.040","95.6"
"Proposed","250","sin(t)","0","0.992","0.130","0.121","96.0","-1.000","0.127","0.119","96.4","0.993","0.055","0.042","94.6"
"Proposed","250","sin(t)","0.5","0.986","0.122","0.115","95.8","-1.007","0.119","0.113","96.0","0.997","0.044","0.039","93.8"
"Proposed","500","0","-0.5","1.001","0.029","0.020","95.2","-0.998","0.033","0.021","94.8","0.996","0.025","0.018","96.0"
"Proposed","500","0","0","1.001","0.224","0.021","94.6","-0.999","0.139","0.022","94.2","0.997","0.163","0.020","92.8"
"Proposed","500","0","0.5","1.000","0.019","0.019","94.2","-1.001","0.020","0.020","95.0","0.996","0.018","0.019","92.0"
"Proposed","500","1/(1+t)","-0.5","0.995","0.089","0.084","96.2","-0.996","0.086","0.080","95.6","0.996","0.030","0.027","95.0"
"Proposed","500","1/(1+t)","0","0.992","0.341","0.079","96.6","-1.000","0.229","0.077","96.2","0.998","0.210","0.029","93.2"
"Proposed","500","1/(1+t)","0.5","0.990","0.081","0.072","96.4","-1.004","0.079","0.084","93.0","0.997","0.026","0.027","95.0"
"Proposed","500","sin(t)","-0.5","0.994","0.109","0.087","95.0","-0.997","0.114","0.083","95.2","0.996","0.043","0.030","95.2"
"Proposed","500","sin(t)","0","0.992","0.315","0.082","96.6","-1.001","0.215","0.080","95.8","0.998","0.192","0.030","94.2"
"Proposed","500","sin(t)","0.5","0.989","0.084","0.075","96.8","-1.005","0.081","0.087","94.0","0.996","0.027","0.028","93.6"
"LY","250","0","-0.5","1.001","0.028","0.027","96.8","-0.997","0.029","0.028","96.0","0.997","0.026","0.027","94.8"
"LY","250","0","0","1.000","0.028","0.029","94.0","-0.997","0.029","0.029","94.8","0.995","0.026","0.027","95.4"
"LY","250","0","0.5","1.001","0.026","0.026","95.4","-0.996","0.028","0.028","94.4","0.995","0.025","0.026","93.4"
"LY","250","1/(1+t)","-0.5","1.180","0.135","0.150","75.0","-0.987","0.120","0.136","93.6","0.999","0.040","0.042","94.4"
"LY","250","1/(1+t)","0","1.178","0.133","0.145","75.2","-0.994","0.121","0.131","94.0","0.996","0.040","0.041","94.6"
"LY","250","1/(1+t)","0.5","1.174","0.133","0.141","75.6","-0.998","0.119","0.133","93.2","0.994","0.039","0.041","93.2"
"LY","250","sin(t)","-0.5","1.185","0.145","0.163","76.6","-0.987","0.129","0.146","92.4","0.999","0.045","0.045","95.0"
"LY","250","sin(t)","0","1.183","0.143","0.154","77.8","-0.995","0.129","0.140","93.4","0.995","0.045","0.047","95.6"
"LY","250","sin(t)","0.5","1.179","0.142","0.152","76.8","-1.000","0.127","0.145","93.0","0.994","0.043","0.045","94.8"
"LY","500","0","-0.5","1.001","0.020","0.020","95.6","-0.998","0.021","0.021","95.2","0.997","0.018","0.018","96.2"
"LY","500","0","0","1.000","0.020","0.020","94.4","-0.999","0.021","0.022","94.2","0.999","0.019","0.019","93.6"
"LY","500","0","0.5","1.000","0.019","0.018","95.0","-1.001","0.020","0.021","95.6","0.997","0.018","0.019","93.0"
"LY","500","1/(1+t)","-0.5","1.185","0.103","0.102","60.2","-0.993","0.091","0.099","93.6","0.999","0.028","0.030","95.6"
"LY","500","1/(1+t)","0","1.176","0.099","0.102","59.8","-0.995","0.090","0.095","94.2","0.998","0.029","0.030","94.4"
"LY","500","1/(1+t)","0.5","1.182","0.099","0.101","56.4","-1.001","0.091","0.101","94.0","0.996","0.028","0.028","95.0"
"LY","500","sin(t)","-0.5","1.193","0.112","0.110","63.8","-0.992","0.098","0.108","92.6","0.999","0.032","0.034","94.0"
"LY","500","sin(t)","0","1.181","0.107","0.113","61.2","-0.995","0.096","0.105","94.2","0.998","0.033","0.034","95.0"
"LY","500","sin(t)","0.5","1.189","0.107","0.108","58.0","-1.003","0.098","0.108","94.4","0.996","0.032","0.032","94.8"
