"n","alpha2","delta4","MeanEst","ESE","MeanEst","ESE","MeanEst","ESE","BLMeanEst","BLESE","BLMeanEst","BLESE","BLMeanEst","BLESE"
"250","0","-0.5","1.003","0.036","-0.998","0.036","0.992","0.034","1.003","0.038","-0.999","0.037","0.995","0.035"
"250","0","0","1.001","0.035","-0.997","0.036","0.995","0.032","1.000","0.034","-0.998","0.036","0.998","0.032"
"250","0","0.5","1.001","0.042","-0.993","0.044","0.990","0.035","0.999","0.037","-0.995","0.040","0.993","0.033"
"250","1/(1+t)","-0.5","0.981","0.114","-1.004","0.122","0.992","0.043","1.172","0.147","-1.008","0.143","0.989","0.050"
"250","1/(1+t)","0","0.984","0.116","-0.994","0.112","0.998","0.042","1.179","0.150","-0.985","0.137","1.000","0.042"
"250","1/(1+t)","0.5","0.990","0.124","-0.995","0.122","0.991","0.046","1.182","0.145","-0.989","0.144","0.997","0.045"
"250","sin(t)","-0.5","0.979","0.116","-1.004","0.126","0.993","0.045","1.176","0.157","-1.006","0.153","0.989","0.055"
"250","sin(t)","0","0.984","0.120","-0.995","0.115","0.998","0.043","1.185","0.164","-0.986","0.150","1.000","0.049"
"250","sin(t)","0.5","0.988","0.128","-0.996","0.127","0.991","0.049","1.190","0.161","-0.987","0.158","0.997","0.051"
"500","0","-0.5","1.000","0.025","-0.998","0.025","0.997","0.024","0.999","0.025","-0.999","0.027","1.000","0.026"
"500","0","0","1.001","0.022","-0.999","0.027","0.997","0.024","1.000","0.022","-0.999","0.027","0.998","0.024"
"500","0","0.5","1.002","0.028","-0.998","0.028","0.996","0.026","1.001","0.026","-0.998","0.026","0.997","0.024"
"500","1/(1+t)","-0.5","0.980","0.079","-0.991","0.078","0.995","0.030","1.177","0.098","-0.989","0.104","0.996","0.035"
"500","1/(1+t)","0","0.988","0.079","-1.002","0.084","0.998","0.028","1.179","0.103","-1.004","0.100","1.000","0.030"
"500","1/(1+t)","0.5","0.993","0.089","-1.003","0.081","0.997","0.034","1.189","0.105","-0.995","0.096","0.998","0.032"
"500","sin(t)","-0.5","0.980","0.081","-0.992","0.079","0.995","0.031","1.184","0.107","-0.989","0.110","0.996","0.037"
"500","sin(t)","0","0.989","0.080","-1.001","0.087","0.997","0.030","1.188","0.109","-1.004","0.106","0.998","0.034"
"500","sin(t)","0.5","0.994","0.090","-1.004","0.082","0.997","0.035","1.196","0.112","-0.995","0.105","0.999","0.037"
